image_id,scene_id,domain,region_index,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,four_metric_majority,psnr_benefit
case1,case1,real_csig,51,43.91500799914638,40.50066321082201,0.9982025027275085,0.944541871547699,0.010147865861654282,0.24788802862167358,0.07687371969223022,0.30716633796691895,-3.414344788324371,-0.05366063117980957,-0.2377401627600193,-0.23029261827468872,0,0
case1,case1,real_csig,52,43.49000130917531,41.42957923665253,0.9969227910041809,0.9569122195243835,0.020310530439019203,0.18783703446388245,0.07952010631561279,0.28486841917037964,-2.0604220725227833,-0.04001057147979736,-0.16752650402486324,-0.20534831285476685,0,0
case1,case1,real_csig,53,46.357362350792066,41.14868683243784,0.9979591965675354,0.9469190835952759,0.01252327486872673,0.21723344922065735,0.11982417106628418,0.30832529067993164,-5.208675518354227,-0.05104011297225952,-0.20471017435193062,-0.18850111961364746,0,0
case1,case1,real_csig,54,42.033576460719004,39.53110259838348,0.9968855381011963,0.938407838344574,0.023246293887495995,0.282058447599411,0.07839459180831909,0.307256281375885,-2.5024738623355276,-0.058477699756622314,-0.258812153711915,-0.22886168956756592,0,0
case1,case1,real_csig,55,45.87791380789931,40.050671172584195,0.9972822070121765,0.9349768161773682,0.019589968025684357,0.2785690724849701,0.0674980878829956,0.3080143928527832,-5.827242635315116,-0.06230539083480835,-0.25897910445928574,-0.2405163049697876,0,0
case1,case1,real_csig,56,43.90214923921691,39.170211414183065,0.9977749586105347,0.9246857166290283,0.02024684101343155,0.3010794520378113,0.06914395093917847,0.3119915723800659,-4.731937825033846,-0.07308924198150635,-0.28083261102437973,-0.24284762144088745,0,0
case1,case1,real_csig,57,44.05285413446258,39.88556756271016,0.997374415397644,0.9363117814064026,0.018342413008213043,0.27304884791374207,0.0679926872253418,0.306506872177124,-4.16728657175242,-0.061062633991241455,-0.254706434905529,-0.23851418495178223,0,0
case1,case1,real_csig,58,43.8553978130848,40.89474941278105,0.9964747428894043,0.9559004306793213,0.023723473772406578,0.22656957805156708,0.07347649335861206,0.29626357555389404,-2.9606484003037465,-0.04057431221008301,-0.2028461042791605,-0.22278708219528198,0,0
case1,case1,real_csig,59,45.34880742200717,41.63353261369543,0.9980871677398682,0.9525790810585022,0.014064733870327473,0.20970124006271362,0.067874014377594,0.2999457120895386,-3.71527480831174,-0.04550808668136597,-0.19563650619238615,-0.23207169771194458,0,0
case1,case1,real_csig,60,42.72127967475592,40.62373497475619,0.9968767762184143,0.948909342288971,0.02831968665122986,0.2265317738056183,0.0846869945526123,0.3023689389228821,-2.0975446999997303,-0.04796743392944336,-0.19821208715438843,-0.21768194437026978,0,0
